window_id,video_id,film_flag,clap_sing,singing_prob,var_db,stratum,human_label,annotator_note,forced_flag_sing
MUch03ZpJQ4_012,MUch03ZpJQ4,1,1.0256884,0.0063930349424481,0.4237,clap_high_only,unset,,0
MUch03ZpJQ4_022,MUch03ZpJQ4,1,-0.10483236,0.0120132910087704,2.3022,both_high,unset,,0
MUch03ZpJQ4_025,MUch03ZpJQ4,1,1.0820348,0.0092093786224722,0.474,both_high,unset,,0
MUch03ZpJQ4_031,MUch03ZpJQ4,1,-1.2722448,0.01021508872509,2.7109,panns_high_only,unset,,0
MUch03ZpJQ4_040,MUch03ZpJQ4,1,-2.1782792,0.0107815163210034,3.5989,panns_high_only,unset,,0
MUch03ZpJQ4_042,MUch03ZpJQ4,1,0.23345806,0.007259436417371,2.7297,clap_high_only,unset,,0
MUch03ZpJQ4_057,MUch03ZpJQ4,1,-0.39868996,0.0297540724277496,2.4402,panns_high_only,unset,,0
N6RGCMRicA8_034,N6RGCMRicA8,0,-3.9368763,0.009205094538629,-1.5469,panns_high_only,unset,,0
NQ3iktgJ-bM_000,NQ3iktgJ-bM,0,3.4630275,0.0907105430960655,2.552,both_high,unset,,0
NYcSRGEKqX4_000,NYcSRGEKqX4,1,-1.5079434,0.0149219306185841,9.3594,panns_high_only,unset,,0
NYcSRGEKqX4_002,NYcSRGEKqX4,1,-1.6798866,0.0146162947639822,4.5311,panns_high_only,unset,,0
NYcSRGEKqX4_007,NYcSRGEKqX4,1,-0.62122875,0.002055793069303,5.0396,mid,unset,,0
NlYiS7zp5Wc_002,NlYiS7zp5Wc,1,-1.254742,0.0241083968430757,18.5391,panns_high_only,unset,,0
OqFfzz8sww4_007,OqFfzz8sww4,0,-3.573674,0.0006296499632298,42.066,both_low,unset,,0
P-jbyxAzsW8_003,P-jbyxAzsW8,0,-1.7971569,0.2597500681877136,46.6608,panns_high_only,unset,,0
PBuicCInFfk_001,PBuicCInFfk,1,-3.6231165,0.0011509817559272,4.8609,mid,unset,,0
PSz4Xf47C98_010,PSz4Xf47C98,0,-2.1944289,0.0115320459008216,2.501,panns_high_only,unset,,0
QFh7ktSHtsU_003,QFh7ktSHtsU,1,-2.1112688,0.0423678681254386,23.0545,panns_high_only,unset,,0
QFh7ktSHtsU_006,QFh7ktSHtsU,1,0.28302026,0.000835045648273,27.6382,clap_high_only,unset,,0
R43WTWwgYGY_007,R43WTWwgYGY,1,-1.3193537,0.0214721485972404,9.2373,panns_high_only,unset,,0
R43WTWwgYGY_012,R43WTWwgYGY,1,-3.7582242,0.0010469640837982,6.332,both_low,unset,,0
RnH3K-ddpjs_001,RnH3K-ddpjs,1,-3.1001713,0.0073912502266466,7.7381,mid,unset,,0
RnH3K-ddpjs_006,RnH3K-ddpjs,1,4.8053212,0.6615265607833862,48.9922,both_high,unset,,0
RnH3K-ddpjs_008,RnH3K-ddpjs,1,2.1802859,0.3161308169364929,43.7139,both_high,unset,,0
RnH3K-ddpjs_011,RnH3K-ddpjs,1,-4.3611603,0.0010375748388469,6.3304,both_low,unset,,0
SRpa-WO48cQ_000,SRpa-WO48cQ,1,-1.3954512,0.0111054060980677,9.5015,panns_high_only,unset,,0
SRpa-WO48cQ_004,SRpa-WO48cQ,1,-2.654228,0.0160569082945585,7.6504,panns_high_only,unset,,0
SRpa-WO48cQ_006,SRpa-WO48cQ,1,-2.9379034,0.0048134196549654,9.4761,mid,unset,,0
SRpa-WO48cQ_014,SRpa-WO48cQ,1,1.5512239,0.0084401546046137,32.9706,clap_high_only,unset,,0
SRpa-WO48cQ_022,SRpa-WO48cQ,1,-3.4482937,0.000832718797028,41.7618,both_low,unset,,0
TA0W22-E_0M_001,TA0W22-E_0M,0,-0.76273578,0.0021685161627829,34.6272,mid,unset,,1
TGfr8DXepFM_001,TGfr8DXepFM,1,-3.0553513,0.0023739722091704,44.3172,mid,unset,,0
TGfr8DXepFM_003,TGfr8DXepFM,1,-4.3434706,0.0010114503093063,6.3471,both_low,unset,,0
U36zHkmhn-c_009,U36zHkmhn-c,1,-4.9403133,0.0008038312080316,20.0222,both_low,unset,,0
U36zHkmhn-c_017,U36zHkmhn-c,1,1.9369165,0.002094107447192,-49.7094,clap_high_only,unset,,0
U36zHkmhn-c_018,U36zHkmhn-c,1,0.78075451,0.0014101946726441,10.7823,clap_high_only,unset,,0
U36zHkmhn-c_021,U36zHkmhn-c,1,0.32494861,0.0029142363928258,32.738,clap_high_only,unset,,0
UAsnU0Vn_go_005,UAsnU0Vn_go,1,-4.0208139,0.0006252003950066,44.095,both_low,unset,,0
UAsnU0Vn_go_006,UAsnU0Vn_go,1,0.28976399,0.0007375796558335,25.2133,clap_high_only,unset,,0
UAsnU0Vn_go_007,UAsnU0Vn_go,1,1.1281257,0.0001920845970744,17.6672,clap_high_only,unset,,0
VIXesMqwTbk_006,VIXesMqwTbk,1,1.4390994,0.3593160510063171,49.3635,both_high,unset,,0
W6q_eMvdJ1Y_004,W6q_eMvdJ1Y,0,-3.6338058,0.0007223357679322,31.7662,both_low,unset,,1
WCpDbhSyK7k_002,WCpDbhSyK7k,1,2.3359358,0.1775486171245575,7.2179,both_high,unset,,0
WCpDbhSyK7k_004,WCpDbhSyK7k,1,-1.7884783,0.0145814614370465,11.634,panns_high_only,unset,,0
WCpDbhSyK7k_005,WCpDbhSyK7k,1,0.37479731,0.1028166115283966,-1.2572,both_high,unset,,0
WCpDbhSyK7k_010,WCpDbhSyK7k,1,-0.83337164,0.1409249454736709,-4.102,panns_high_only,unset,,0
WCpDbhSyK7k_015,WCpDbhSyK7k,1,-3.8246667,0.0009827623143792,6.3057,both_low,unset,,0
Whvy26QDqpk_000,Whvy26QDqpk,1,-2.0278623,0.0050519648939371,9.6859,mid,unset,,0
Whvy26QDqpk_002,Whvy26QDqpk,1,-3.675591,0.0076023070141673,6.4963,mid,unset,,0
Whvy26QDqpk_003,Whvy26QDqpk,1,-3.7905536,0.0008529371698386,6.3353,both_low,unset,,0
Ws-kE2loi9E_002,Ws-kE2loi9E,0,-3.9060216,0.0342244133353233,4.2074,panns_high_only,unset,,0
