window_id,music_prob,singing_prob,snr_db,dnsmos_ovrl
-3BTKFtZldo_000,0.8609849214553833,0.011146452277898788,6.191693305969238,1.6360134001638071
-3BTKFtZldo_001,0.8772775530815125,0.0031994192395359278,10.001691818237305,1.883913702213988
-3BTKFtZldo_002,0.9147104024887085,0.014887651428580284,1.253121256828308,2.22608213540826
-9oY4_qcCfg_000,0.5972972512245178,0.00574194872751832,56.378501892089844,3.173351132324662
-9oY4_qcCfg_001,0.8504090309143066,0.022213317453861237,20.552661895751953,2.5785690369840757
-9oY4_qcCfg_002,0.7875522375106812,0.005760153755545616,19.43374252319336,2.548287189643373
-9oY4_qcCfg_003,0.854030430316925,0.005388573277741671,20.437793731689453,2.696320809181754
-9oY4_qcCfg_004,0.8892892599105835,0.022560004144906998,17.335912704467773,2.478539703792969
-9oY4_qcCfg_005,0.8516568541526794,0.016100086271762848,27.289958953857422,2.5844256819464113
-9oY4_qcCfg_006,0.8298583030700684,0.0028335966635495424,17.683700561523438,2.6706233780829973
-9oY4_qcCfg_007,0.8368344306945801,0.0037632000166922808,13.975258827209473,1.2252535759077898
-9oY4_qcCfg_008,0.8983310461044312,0.004846686031669378,20.65979766845703,2.6839704482319466
-9oY4_qcCfg_009,0.8596475124359131,0.015153874643146992,23.43912696838379,2.44201359655817
-9oY4_qcCfg_010,0.85260409116745,0.00630981894209981,22.22316551208496,2.6377340395748727
-9oY4_qcCfg_011,0.8582460284233093,0.006662530824542046,17.207916259765625,2.8091307215357464
-9oY4_qcCfg_012,0.8555944561958313,0.0031577041372656822,14.84135913848877,2.382387696436334
-9oY4_qcCfg_013,0.7920425534248352,0.0034178118221461773,17.72406578063965,2.1275797617357237
-9oY4_qcCfg_014,0.02660468779504299,0.000566396105568856,69.71815490722656,2.954425240281334
-9oY4_qcCfg_015,0.03261120617389679,0.0006202029762789607,65.61312103271484,3.09772177845025
-uB4Z9Vdv3E_000,0.8717551827430725,0.004382900428026915,14.022335052490234,2.4862576526730273
-uB4Z9Vdv3E_001,0.935611367225647,0.006509894970804453,9.79706859588623,2.415898945967573
-uB4Z9Vdv3E_002,0.8934125900268555,0.009169748052954674,10.847905158996582,2.2657360919883485
-uB4Z9Vdv3E_003,0.027677949517965317,0.0005627901409752667,64.61258697509766,3.0336427573968785
