window_id,rms_vocals,rms_rest,var_db,demucs_ok,error
0tOUk3VfuGg_000,8.57622287e-02,1.29090772e-02,16.4480,1,
0tOUk3VfuGg_001,5.92880946e-02,2.68902983e-02,6.8674,1,
0tOUk3VfuGg_002,7.12379910e-02,3.70200460e-02,5.6855,1,
0tOUk3VfuGg_003,5.36186100e-02,4.48276369e-02,1.5554,1,
0tOUk3VfuGg_004,6.49982477e-02,4.16447852e-02,3.8668,1,
0tOUk3VfuGg_005,6.51426801e-02,4.07969327e-02,4.0648,1,
0tOUk3VfuGg_006,7.50421830e-02,4.32736665e-02,4.7816,1,
0tOUk3VfuGg_007,9.03806044e-02,4.36011674e-02,6.3315,1,
0tOUk3VfuGg_008,7.74645479e-02,4.29106285e-02,5.1308,1,
0tOUk3VfuGg_009,7.30352810e-02,3.73303364e-02,5.8294,1,
0tOUk3VfuGg_010,7.27589518e-02,3.68528018e-02,5.9083,1,
0tOUk3VfuGg_011,8.76809625e-02,4.38745421e-02,6.0139,1,
0tOUk3VfuGg_012,7.64856489e-02,4.22366646e-02,5.1578,1,
0tOUk3VfuGg_013,7.69257684e-02,3.34063658e-02,7.2449,1,
0tOUk3VfuGg_014,5.24975203e-02,2.54184103e-02,6.2998,1,
0tOUk3VfuGg_015,6.45478587e-02,1.84522051e-02,10.8767,1,
0tOUk3VfuGg_016,3.35178081e-02,2.42390213e-04,42.8152,1,
0xkI0AW6xfQ_000,1.05269219e-01,3.58191295e-02,9.3637,1,
0xkI0AW6xfQ_001,1.42744025e-01,4.28539321e-04,50.4513,1,
0xkI0AW6xfQ_002,1.39701694e-01,4.39270508e-04,50.0494,1,
0xkI0AW6xfQ_003,7.66784305e-02,3.59353171e-04,46.5830,1,
0xkI0AW6xfQ_004,6.84731147e-02,5.02608412e-04,42.6858,1,
0xkI0AW6xfQ_005,8.50892925e-02,3.87866181e-04,46.8239,1,
0xkI0AW6xfQ_006,1.47987599e-01,4.22166575e-02,10.8948,1,
0xkI0AW6xfQ_007,1.68019641e-01,4.26775609e-02,11.9032,1,
0xkI0AW6xfQ_008,1.59384408e-01,7.67482867e-02,6.3475,1,
0xkI0AW6xfQ_009,1.73381357e-01,9.58264722e-02,5.1503,1,
0xkI0AW6xfQ_010,1.76410338e-01,8.46316519e-02,6.3798,1,
0xkI0AW6xfQ_011,1.72490235e-01,9.35967767e-02,5.3101,1,
0xkI0AW6xfQ_012,1.81429626e-01,6.03548916e-02,9.5599,1,
0xkI0AW6xfQ_013,1.70629195e-01,6.03868747e-02,9.0222,1,
0xkI0AW6xfQ_014,1.67214109e-01,6.25896585e-02,8.5354,1,
0xkI0AW6xfQ_015,1.67876097e-01,6.29961257e-02,8.5135,1,
0xkI0AW6xfQ_016,1.74072314e-01,5.88693972e-02,9.4168,1,
0xkI0AW6xfQ_017,1.72547662e-01,6.35908886e-02,8.6703,1,
0xkI0AW6xfQ_018,1.77731691e-01,9.20866799e-02,5.7114,1,
0xkI0AW6xfQ_019,1.32040669e-01,6.41614975e-02,6.2687,1,
10G-1WZq5jc_000,1.11035394e-01,5.43359090e-02,6.2075,1,
10G-1WZq5jc_001,7.20699362e-02,7.85124927e-02,-0.7437,1,
10G-1WZq5jc_002,1.04191883e-01,8.63835875e-02,1.6281,1,
10G-1WZq5jc_003,1.60329807e-01,8.60710637e-02,5.4031,1,
10G-1WZq5jc_004,1.58795110e-01,9.57103688e-02,4.3976,1,
10G-1WZq5jc_005,1.80961980e-01,8.05704291e-02,7.0282,1,
10G-1WZq5jc_006,1.64919705e-01,9.00041630e-02,5.2602,1,
10G-1WZq5jc_007,1.79720974e-01,7.39873687e-02,7.7088,1,
10G-1WZq5jc_008,1.55052654e-01,4.41895942e-02,10.9032,1,
10G-1WZq5jc_009,1.60383485e-01,4.97549623e-02,10.1665,1,
10G-1WZq5jc_010,1.80942704e-01,4.99845930e-02,11.1741,1,
10G-1WZq5jc_011,1.74323118e-01,4.90137595e-02,11.0207,1,
10G-1WZq5jc_012,1.78441884e-01,5.25808837e-02,10.6134,1,
10G-1WZq5jc_013,2.01120141e-01,5.58511229e-02,11.1285,1,
10G-1WZq5jc_014,1.71729446e-01,1.40133299e-03,41.7661,1,
10G-1WZq5jc_015,1.32294196e-01,4.22432385e-04,49.9157,1,
10G-1WZq5jc_016,8.11974357e-02,3.95300435e-04,46.2523,1,
10G-1WZq5jc_017,1.74042529e-01,1.15576671e-01,3.5557,1,
10G-1WZq5jc_018,1.32634674e-01,6.39531906e-02,6.3359,1,
1Hj6ncrJr0c_000,2.02873997e-01,4.56114432e-02,12.9631,1,
1Hj6ncrJr0c_001,2.06624173e-01,5.49433428e-02,11.5053,1,
1Hj6ncrJr0c_002,1.69815656e-01,5.34378703e-02,10.0426,1,
1Hj6ncrJr0c_003,2.33054009e-01,4.37103165e-02,14.5375,1,
1Hj6ncrJr0c_004,1.87779061e-01,1.09701992e-01,4.6687,1,
1Hj6ncrJr0c_005,1.33007167e-01,6.41519359e-02,6.3333,1,
1Mz-sKyoEy8_000,9.31647109e-02,3.44289836e-02,8.6465,1,
1Mz-sKyoEy8_001,1.12161064e-01,2.40091462e-02,13.3893,1,
1Mz-sKyoEy8_002,1.32662753e-01,1.37163421e-01,-0.2898,1,
1Mz-sKyoEy8_003,7.41125297e-02,6.86717450e-03,20.6623,1,
1Mz-sKyoEy8_004,3.36442563e-02,2.63760688e-04,42.1140,1,
1VbNiBxwg9M_000,6.23595956e-02,5.65468011e-04,40.8499,1,
1VbNiBxwg9M_001,7.90261775e-02,4.20999628e-04,45.4698,1,
1VbNiBxwg9M_002,8.31500379e-02,8.74803730e-04,39.5590,1,
1VbNiBxwg9M_003,7.72913200e-02,5.20250248e-04,43.4384,1,
1VbNiBxwg9M_004,1.06231442e-01,5.54641435e-04,45.6448,1,
1VbNiBxwg9M_005,7.32102457e-02,8.46059571e-04,38.7434,1,
1VbNiBxwg9M_006,5.76989190e-02,1.16194032e-03,33.9197,1,
1VbNiBxwg9M_007,8.21542603e-02,9.22956803e-04,38.9890,1,
1VbNiBxwg9M_008,7.64913618e-02,1.09632743e-03,36.8734,1,
1VbNiBxwg9M_009,6.33410843e-02,4.17987149e-04,43.6105,1,
1VbNiBxwg9M_010,9.21366663e-02,7.14721396e-04,42.2059,1,
1VbNiBxwg9M_011,5.60109901e-02,4.41519641e-03,22.0665,1,
1VbNiBxwg9M_012,6.24807453e-02,9.19902808e-03,16.6401,1,
1VbNiBxwg9M_013,6.33738748e-02,1.10236760e-02,15.1917,1,
1VbNiBxwg9M_014,5.15445078e-02,5.25877270e-04,39.8260,1,
1VbNiBxwg9M_015,5.99208348e-02,5.66636680e-04,40.4855,1,
1VbNiBxwg9M_016,5.93967332e-02,6.10792255e-04,39.7574,1,
1VbNiBxwg9M_017,5.76536283e-02,5.71027078e-04,40.0834,1,
1VbNiBxwg9M_018,6.93543207e-02,6.55152444e-04,40.4946,1,
1VbNiBxwg9M_019,6.81210497e-02,5.88980228e-03,21.2636,1,
1VbNiBxwg9M_020,3.35299361e-02,2.31307976e-04,43.2248,1,
1W1EWr_0bg8_000,1.27949753e-01,2.89657167e-02,12.9031,1,
1W1EWr_0bg8_001,1.46167549e-01,3.32684060e-02,12.8564,1,
1W1EWr_0bg8_002,1.35612950e-01,3.82834696e-02,10.9858,1,
1W1EWr_0bg8_003,1.58454890e-01,2.72722467e-02,15.2837,1,
1W1EWr_0bg8_004,1.56181361e-01,3.00078262e-02,14.3279,1,
1W1EWr_0bg8_005,1.31854922e-01,2.59182987e-02,14.1298,1,
1W1EWr_0bg8_006,3.35911241e-02,2.67553697e-04,41.9763,1,
1WefYlPx6ok_000,1.10514912e-01,9.44595709e-03,21.3635,1,
1WefYlPx6ok_001,8.67750521e-02,1.86271971e-02,13.3649,1,
1WefYlPx6ok_002,1.16189310e-01,1.67748269e-02,16.8102,1,
1WefYlPx6ok_003,8.60752407e-02,1.53415043e-02,14.9802,1,
1WefYlPx6ok_004,6.52109228e-02,1.72548350e-02,11.5482,1,
1WefYlPx6ok_005,9.63016931e-02,1.53468935e-02,15.9523,1,
1WefYlPx6ok_006,7.60778775e-02,2.39128467e-02,10.0525,1,
1WefYlPx6ok_007,8.87477999e-02,2.47015721e-02,11.1087,1,
1WefYlPx6ok_008,4.88316022e-02,2.17250197e-02,7.0348,1,
1WefYlPx6ok_009,7.15659907e-02,2.21306764e-02,10.1942,1,
1WefYlPx6ok_010,5.44974325e-02,2.40319607e-02,7.1117,1,
1WefYlPx6ok_011,6.63075446e-02,2.08279570e-02,10.0583,1,
1WefYlPx6ok_012,6.33851513e-02,1.24801969e-02,14.1153,1,
1WefYlPx6ok_013,7.21122422e-02,8.00047064e-03,19.0979,1,
1WefYlPx6ok_014,3.34811133e-02,2.39573852e-04,42.9072,1,
1qtodTd6UME_000,1.68789276e-01,4.27175672e-02,11.9348,1,
1qtodTd6UME_001,1.78395792e-01,6.48365026e-02,8.7913,1,
1qtodTd6UME_002,1.32509796e-01,6.43717980e-02,6.2710,1,
1uc4tqpk9o0_000,7.73589849e-02,1.90848494e-02,12.1564,1,
1uc4tqpk9o0_001,8.69256349e-02,1.79246492e-02,13.7139,1,
1uc4tqpk9o0_002,1.04302901e-01,1.91372023e-02,14.7284,1,
1uc4tqpk9o0_003,1.75983542e-01,5.08970005e-02,10.7756,1,
1uc4tqpk9o0_004,1.81811737e-01,5.99420932e-02,9.6378,1,
1uc4tqpk9o0_005,1.62963864e-01,5.91385495e-02,8.8044,1,
1uc4tqpk9o0_006,2.05277316e-01,6.29556292e-02,10.2661,1,
1uc4tqpk9o0_007,1.73510458e-01,1.17878546e-01,3.3578,1,
1uc4tqpk9o0_008,1.32579791e-01,6.44713156e-02,6.2622,1,
238-IIxY3Pw_000,1.64918814e-01,7.67826064e-04,46.6401,1,
238-IIxY3Pw_001,1.30871748e-01,9.12620826e-04,43.1311,1,
238-IIxY3Pw_002,1.27909360e-01,8.98099373e-04,43.0716,1,
238-IIxY3Pw_003,1.18132277e-01,8.40921159e-04,42.9523,1,
238-IIxY3Pw_004,9.20388081e-02,2.06570653e-02,12.9780,1,
238-IIxY3Pw_005,9.41138323e-02,1.94429833e-02,13.6978,1,
238-IIxY3Pw_006,1.03404451e-01,1.62293273e-02,16.0848,1,
238-IIxY3Pw_007,1.08234317e-01,1.91954910e-02,15.0233,1,
238-IIxY3Pw_008,1.17631508e-01,2.14780384e-02,14.7706,1,
238-IIxY3Pw_009,1.05859698e-01,2.29165147e-02,13.2916,1,
238-IIxY3Pw_010,1.30303647e-01,1.64475801e-02,17.9771,1,
238-IIxY3Pw_011,1.15511046e-01,1.69696037e-02,16.6590,1,
238-IIxY3Pw_012,7.32621395e-02,5.29796209e-03,22.8154,1,
238-IIxY3Pw_013,3.35541160e-02,2.41585534e-04,42.8535,1,
2VLM3MhnyEE_000,3.08412346e-02,2.88483792e-04,40.5802,1,
2VLM3MhnyEE_001,4.47967381e-02,4.43389369e-03,20.0892,1,
2VLM3MhnyEE_002,4.52314333e-02,6.94509359e-03,16.2752,1,
2VLM3MhnyEE_003,5.70093334e-02,4.14070217e-04,42.7774,1,
2VLM3MhnyEE_004,3.98449376e-02,8.09411925e-03,13.8441,1,
2VLM3MhnyEE_005,4.49856674e-02,4.71005153e-04,39.6010,1,
2VLM3MhnyEE_006,4.15341071e-02,4.56729778e-03,19.1749,1,
2VLM3MhnyEE_007,3.66914177e-02,8.62619362e-03,12.5749,1,
2VLM3MhnyEE_008,4.37215660e-02,1.23626111e-02,10.9717,1,
2VLM3MhnyEE_009,5.23527672e-02,4.97073456e-04,40.4504,1,
2VLM3MhnyEE_010,7.20734099e-02,8.60366407e-03,18.4618,1,
2VmuNpNnUEU_000,1.89191889e-01,7.47422844e-03,28.0667,1,
2VmuNpNnUEU_001,2.24269577e-01,5.40809508e-03,32.3545,1,
2VmuNpNnUEU_002,1.74303343e-01,1.17973348e-01,3.3904,1,
2VmuNpNnUEU_003,1.32308160e-01,6.39292501e-02,6.3177,1,
2Y6itphxVyc_000,1.87673499e-01,2.67989247e-02,16.9057,1,
2Y6itphxVyc_001,6.18619732e-02,6.93359306e-03,19.0093,1,
2Y6itphxVyc_002,5.07829546e-02,4.54918700e-03,20.9557,1,
2Y6itphxVyc_003,5.78156847e-02,9.09206460e-04,36.0677,1,
2Y6itphxVyc_004,4.73246214e-02,9.66628675e-03,13.7965,1,
2Y6itphxVyc_005,5.79453281e-02,1.85415808e-02,9.8974,1,
2Y6itphxVyc_006,6.01968023e-02,1.87480120e-02,10.1324,1,
2Y6itphxVyc_007,1.88436966e-01,1.09876287e-01,4.6852,1,
2Y6itphxVyc_008,1.33087743e-01,6.43500115e-02,6.3118,1,
2a1fdlEvm-s_000,1.86849660e-01,5.27497394e-03,30.9854,1,
2a1fdlEvm-s_001,1.70622975e-01,1.25365663e-03,42.6772,1,
2a1fdlEvm-s_002,1.74766401e-01,1.14169141e-01,3.6982,1,
2a1fdlEvm-s_003,1.32125270e-01,6.43047915e-02,6.2549,1,
2anuRVG0ZBc_000,7.16199098e-02,2.39917703e-02,9.4994,1,
2anuRVG0ZBc_001,9.14137670e-02,3.16656182e-02,9.2085,1,
2anuRVG0ZBc_002,8.48434223e-02,2.97451046e-02,9.1041,1,
2anuRVG0ZBc_003,1.24348353e-01,2.92882192e-02,12.5589,1,
2anuRVG0ZBc_004,7.28175989e-02,6.24593700e-03,21.3328,1,
2anuRVG0ZBc_005,3.35950062e-02,2.32933627e-04,43.1809,1,
2oJ2qkdgZTw_000,1.59457477e-01,4.57047367e-02,10.8537,1,
2oJ2qkdgZTw_001,1.75169681e-01,4.37898925e-02,12.0417,1,
2oJ2qkdgZTw_002,1.33375335e-01,3.78681800e-02,10.9360,1,
2wdfJrsnKME_000,9.17769800e-02,1.14912656e-03,38.0473,1,
2wdfJrsnKME_001,9.88322266e-02,2.34689104e-02,12.4881,1,
2wdfJrsnKME_002,8.76185272e-02,2.19447093e-02,12.0253,1,
2wdfJrsnKME_003,9.88298697e-02,1.32396268e-02,17.4602,1,
2wdfJrsnKME_004,9.31675280e-02,1.28319049e-03,37.2195,1,
2wdfJrsnKME_005,6.71639952e-02,4.36688046e-04,43.7393,1,
2wdfJrsnKME_006,3.33904983e-02,2.50326043e-04,42.5023,1,
389l_ackzDg_000,1.46375682e-01,2.77821638e-02,14.4341,1,
389l_ackzDg_001,1.65481076e-01,5.83478927e-02,9.0545,1,
389l_ackzDg_002,9.74331030e-02,1.74018251e-02,14.9622,1,
389l_ackzDg_003,1.31341919e-01,5.73805766e-02,7.1928,1,
389l_ackzDg_004,1.31707639e-01,6.41732574e-02,6.2451,1,
3KG2fqfQMG4_000,1.15887109e-01,1.18778757e-03,39.7859,1,
3KG2fqfQMG4_001,1.30348126e-01,1.04784671e-03,41.8961,1,
3KG2fqfQMG4_002,1.11294438e-01,9.10899701e-04,41.7401,1,
3KG2fqfQMG4_003,1.37606830e-01,1.10834488e-03,41.8793,1,
3KG2fqfQMG4_004,1.67235353e-01,1.19817193e-01,2.8962,1,
3KG2fqfQMG4_005,1.32565757e-01,6.42486677e-02,6.2913,1,
3TNcMupTFTQ_000,1.32396250e-01,1.13024767e-02,21.3740,1,
3TNcMupTFTQ_001,1.55952067e-01,1.80838887e-02,18.7140,1,
3TNcMupTFTQ_002,1.35755482e-01,6.91148336e-02,5.8637,1,
3TNcMupTFTQ_003,1.75535700e-01,6.25880968e-02,8.9575,1,
3TNcMupTFTQ_004,1.78054408e-01,1.17754149e-01,3.5915,1,
3TNcMupTFTQ_005,1.33535416e-01,6.40952493e-02,6.3754,1,
3aBRmQ-C51o_000,7.29344677e-02,6.12381489e-03,21.5182,1,
3aBRmQ-C51o_001,6.15259397e-02,4.62086784e-04,42.4867,1,
3aBRmQ-C51o_002,4.24145929e-02,2.42105061e-04,44.8702,1,
3aBRmQ-C51o_003,3.78693456e-02,2.55679301e-04,43.4118,1,
3g0OEhAgPHw_000,1.95463343e-01,2.68105769e-02,17.2552,1,
3g0OEhAgPHw_001,1.77026818e-01,6.69780527e-02,8.4421,1,
3g0OEhAgPHw_002,1.77466647e-01,7.61647717e-02,7.3473,1,
3g0OEhAgPHw_003,1.79917085e-01,6.69764352e-02,8.5830,1,
3g0OEhAgPHw_004,1.33443615e-01,6.45847103e-02,6.3034,1,
3gtSu-CaA6o_000,1.59195398e-01,3.76232680e-02,12.5295,1,
3gtSu-CaA6o_001,1.60855322e-01,7.55938794e-02,6.5590,1,
3gtSu-CaA6o_002,1.63805234e-01,8.53502829e-02,5.6625,1,
3gtSu-CaA6o_003,1.76707882e-01,8.27859368e-02,6.5860,1,
3gtSu-CaA6o_004,2.14466472e-01,7.88434234e-02,8.6919,1,
3gtSu-CaA6o_005,1.64736361e-01,8.30998566e-02,5.9438,1,
3gtSu-CaA6o_006,1.40912269e-01,9.68992049e-02,3.2526,1,
3gtSu-CaA6o_007,1.78093849e-01,6.69084346e-02,8.5034,1,
3gtSu-CaA6o_008,1.42702971e-01,9.78882217e-02,3.2741,1,
3gtSu-CaA6o_009,1.74999372e-01,1.01602551e-01,4.7226,1,
3gtSu-CaA6o_010,1.33073186e-01,6.42085478e-02,6.3300,1,
3kTKtsSunlg_000,7.32287142e-02,5.69114281e-03,22.1896,1,
3kTKtsSunlg_001,4.92804074e-02,9.48604649e-04,34.3118,1,
3kTKtsSunlg_002,5.14324940e-02,5.41213106e-04,39.5574,1,
3kTKtsSunlg_003,5.14208623e-02,4.94487546e-04,40.3397,1,
3kTKtsSunlg_004,6.94423966e-02,1.61709777e-03,32.6578,1,
3kTKtsSunlg_005,9.80778522e-02,1.56720067e-03,35.9289,1,
3kTKtsSunlg_006,1.03650107e-01,5.65913554e-04,45.2564,1,
3kTKtsSunlg_007,6.43212874e-02,2.49709629e-04,48.2184,1,
3kTKtsSunlg_008,5.65467458e-02,3.76253303e-04,43.5385,1,
3kTKtsSunlg_009,5.74000499e-02,3.11172041e-03,25.3182,1,
3kTKtsSunlg_010,6.93457336e-02,4.49772560e-04,43.7605,1,
3kTKtsSunlg_011,7.35163970e-02,3.45802629e-04,46.5511,1,
3kTKtsSunlg_012,4.57229575e-02,3.14845429e-04,43.2407,1,
3kTKtsSunlg_013,5.81044503e-02,3.31557470e-04,44.8730,1,
3kTKtsSunlg_014,7.94658129e-02,4.47227205e-04,44.9930,1,
3kTKtsSunlg_015,4.78194874e-02,3.43939749e-04,42.8625,1,
3kTKtsSunlg_016,4.90742822e-02,2.07136972e-02,7.4919,1,
3kTKtsSunlg_017,6.30042828e-02,6.12460837e-03,20.2458,1,
3kTKtsSunlg_018,2.11363375e-02,9.79313007e-05,46.6822,1,
3kTKtsSunlg_019,5.89013507e-02,1.16398412e-03,34.0836,1,
3kTKtsSunlg_020,5.34431538e-02,3.84292395e-03,22.8646,1,
3kTKtsSunlg_021,5.91559816e-02,1.18536280e-03,33.9629,1,
3kTKtsSunlg_022,5.04481625e-02,3.57154508e-04,42.9998,1,
3kTKtsSunlg_023,7.64725279e-02,1.60925329e-02,13.5376,1,
3kTKtsSunlg_024,3.15298720e-02,3.71347606e-04,38.5788,1,
3kTKtsSunlg_025,2.87788601e-04,5.44429685e-02,-45.5374,1,
3kTKtsSunlg_026,4.72379936e-02,4.06076362e-04,41.3137,1,
3kTKtsSunlg_027,2.78355696e-02,6.29053037e-03,12.9183,1,
3kTKtsSunlg_028,5.38304138e-02,1.29619971e-01,-7.6329,1,
