subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,<0.2,210,2,0.861904761904762,0.8541666666666666,0.868421052631579,0.8612938596491229,0.8541666666666666,0.868421052631579
film,0.2-0.5,119,1,0.8739495798319328,0.8739495798319328,0.8739495798319328,0.8739495798319328,0.8739495798319328,0.8739495798319328
film,>0.5,117,1,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718
contemporary,<0.2,486,3,0.8209876543209876,0.7986111111111112,0.8796296296296297,0.8222222222222222,0.7986111111111112,0.8796296296296297
