subset,n_tone1_syllables,n_videos,heard_as_4_rate,heard_as_6_rate,heard_as_4_or_6_rate,ci_low,ci_high
film,762,4,0.005249343832020997,0.02230971128608924,0.027559055118110236,0.014134275618374558,0.03380281690140845
contemporary,90,1,0.011111111111111112,0.044444444444444446,0.05555555555555555,0.05555555555555555,0.05555555555555555
