subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,<5,139,2,0.9064748201438849,0.9,1.0,0.95,0.9,1.0
film,5-10,2092,4,0.8723709369024857,0.8557475582268971,0.8849050750143171,0.8744844190165078,0.8095238095238095,0.9008264462809917
film,10-15,814,4,0.9250614250614251,0.9032258064516129,0.9467032079079915,0.9201261701261702,0.8461538461538461,0.9651741293532339
film,15-20,131,1,0.9236641221374046,0.9236641221374046,0.9236641221374046,0.9236641221374046,0.9236641221374046,0.9236641221374046
film,>20,53,2,0.8867924528301887,0.8636363636363636,1.0,0.9318181818181819,0.8636363636363636,1.0
contemporary,10-15,56,1,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
contemporary,15-20,93,1,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839
contemporary,>20,242,1,0.9586776859504132,0.9586776859504132,0.9586776859504132,0.9586776859504132,0.9586776859504132,0.9586776859504132
