subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,<3,1233,4,0.8678021086780211,0.8297872340425532,0.9052069638699254,0.8688542825361513,0.8283261802575107,0.9157894736842105
film,3-5,1996,3,0.9028056112224448,0.8833746898263027,0.9224489795918367,0.9142857142857143,0.8833746898263027,0.9224489795918367
contemporary,<3,364,1,0.9340659340659341,0.9340659340659341,0.9340659340659341,0.9340659340659341,0.9340659340659341,0.9340659340659341
contemporary,3-5,27,1,1.0,1.0,1.0,1.0,1.0,1.0
