flag,n_videos,share_videos
parody_flag,7,0.012345679012345678
song_flag,12,0.021164021164021163
recitation_flag,15,0.026455026455026454
film_flag,131,0.2310405643738977
film_related_core,119,0.20987654320987653
contemporary_only,408,0.7195767195767195
multi_content_flag_ge2,6,0.010582010582010581
