period,n,mean_cps,median_cps,mean_coverage,median_coverage,mean_dur,sing_rate,boiler_rate,simp_rate,tone_shift_rate
2025+,1153,2.7990980052038164,2.56,0.8828508239375542,0.982,12.407354726799653,0.0,0.1491760624457936,0.033824804856895055,0.014744145706851692
pre-2025,3286,2.651004260499087,2.56,0.9000386488131467,0.988,13.204514911746804,0.0,0.12172854534388314,0.02951917224589166,0.01278149726110773
