n_syllables,n_exact,mean_agreement,exact_default_share,exact_alt_share,tone_share,segment_share,diff_share,none_share,scope,year,n_videos,n_windows
5076,4152,0.817966903073286,0.7586682427107959,0.05929866036249015,0.11977935382190702,0.046493301812450746,0.007880220646178092,0.007880220646178092,AB,2021,9,157
69228,61505,0.8884410931992835,0.8455538221528861,0.04288727104639741,0.06224360085514532,0.03788929334951176,0.005041312763621656,0.006384699832437742,AB,2022,193,2008
9504,7935,0.8349116161616161,0.7922979797979798,0.04261363636363636,0.08764730639730639,0.04882154882154882,0.014625420875420875,0.013994107744107745,AB,2023,36,233
38400,31854,0.82953125,0.787109375,0.042421875,0.08270833333333333,0.0621875,0.011953125,0.013619791666666667,AB,2024,151,888
34932,26394,0.7555822741326005,0.7053418069391961,0.05024046719340433,0.10972747051414176,0.0852513454712012,0.023445551356922018,0.025993358525134548,AB,2025,138,904
7553,5851,0.7746590758638952,0.729776247848537,0.04488282801535814,0.0917516218721038,0.08989805375347544,0.02555276049251953,0.01813848801800609,AB,2026,38,249
5404,4347,0.8044041450777202,0.7455588452997779,0.05884529977794226,0.115099925980755,0.05680977054034049,0.01387860843819393,0.009807549962990377,ALL,2021,9,193
70512,62517,0.8866150442477876,0.8437854549580214,0.04282958928976628,0.062031994554118446,0.0390571817562968,0.005601883367370093,0.006693896074427048,ALL,2022,193,2074
10094,8230,0.8153358430750941,0.7725381414701803,0.04279770160491381,0.08916187834357044,0.057558945908460474,0.02011095700416089,0.01783237566871409,ALL,2023,36,248
42001,32291,0.7688150282136139,0.7282207566486513,0.04059427156496274,0.08533130163567534,0.10121187590771648,0.026808885502726126,0.017832908740268088,ALL,2024,153,1027
35630,26625,0.7472635419590233,0.6975582374403593,0.04970530451866405,0.1094583216390682,0.08927869772663485,0.025231546449621105,0.02876789222565254,ALL,2025,138,934
8226,6125,0.7445903233649405,0.700705081449064,0.04388524191587649,0.09166058837831267,0.10199367858011184,0.038536348164356915,0.023219061512278143,ALL,2026,38,291
