period,cinema_kw,n_videos,n_syllables,mean_agreement_syl,median_agreement_video
pre-2025,False,360,114286,0.867997830005425,0.8980942986782403
pre-2025,True,29,7922,0.7884372633173441,0.8571428571428571
2025+,False,157,35404,0.7766636538244266,0.8610662358642972
2025+,True,19,7081,0.670526761756814,0.7374768089053804
