n_syllables,n_exact,mean_agreement,exact_default_share,exact_alt_share,tone_share,segment_share,diff_share,none_share,scope,period,n_videos,n_windows
42485,32245,0.7589737554430975,0.7096857714487467,0.04928798399435095,0.10653171707661528,0.08607743909615158,0.023820171825350123,0.024596916558785455,AB,2025+,176,1153
122208,105446,0.8628404032469232,0.8194389892642053,0.04340141398271799,0.07303940822204766,0.04673180151872218,0.008076394344069128,0.009311992668237758,AB,pre-2025,389,3286
43856,32750,0.7467621306092667,0.6981484859540313,0.048613644655235315,0.10612002918642831,0.09166362641371763,0.027727106895293688,0.027727106895293688,ALL,2025+,176,1225
128011,107385,0.8388732218324988,0.7961034598589184,0.04276976197358039,0.07405613580082962,0.06165876369999453,0.014053479779081486,0.011358398887595596,ALL,pre-2025,391,3542
