year,diff,exact_alt,exact_default,none,segment,tone
2021,0.007880220646178092,0.05929866036249015,0.7586682427107959,0.007880220646178092,0.046493301812450746,0.11977935382190702
2022,0.005041312763621656,0.04288727104639741,0.8455538221528861,0.006384699832437742,0.03788929334951176,0.06224360085514532
2023,0.014625420875420875,0.04261363636363636,0.7922979797979798,0.013994107744107745,0.04882154882154882,0.08764730639730639
2024,0.011953125,0.042421875,0.787109375,0.013619791666666667,0.0621875,0.08270833333333333
2025,0.023445551356922018,0.05024046719340433,0.7053418069391961,0.025993358525134548,0.0852513454712012,0.10972747051414176
2026,0.02555276049251953,0.04488282801535814,0.729776247848537,0.01813848801800609,0.08989805375347544,0.0917516218721038
