window_id,music_prob,singing_prob,snr_db,dnsmos_ovrl
5j651zUx6q4_008,0.871210515499115,0.000668350898195,0.9071068167686462,1.143956712318489
W6q_eMvdJ1Y_004,0.0151165230199694,0.0007223357679322,54.51034927368164,3.2382615302740865
mlNSL9Bt5dw_001,0.0259237475693225,0.001043350668624,36.597957611083984,2.6693242957446555
TA0W22-E_0M_001,0.0759190618991851,0.0021685161627829,3.660972595214844,1.1254012669595377
uMm5I9C7MDQ_005,0.0380554907023906,0.0022727856412529,11.372753143310549,1.7961238502948835
pVn529r5yWc_001,0.8853026032447815,0.0039406069554388,23.249492645263672,2.078125688861697
tMvCw-t6-Uc_001,0.8738371133804321,0.0301934052258729,16.207239151000977,1.621581793118338
am5t5f9S3Z8_006,0.1869546622037887,0.0938640683889389,23.40634536743164,2.22004866960118
7uMXWgvf_IU_006,0.1014953702688217,0.0969354435801506,31.731908798217773,2.456213721884457
7uMXWgvf_IU_004,0.1015943363308906,0.1159785613417625,24.76789665222168,1.7800814808438177
7uMXWgvf_IU_002,0.1293782740831375,0.1258309781551361,42.41319274902344,2.272169388128813
KwklVl7E6Ec_001,0.851550281047821,0.1404750645160675,-2.960413694381714,1.093134813140665
tMvCw-t6-Uc_004,0.8770615458488464,0.2407769709825515,14.636353492736816,1.119432411774718
iG1olu8M82U_002,0.3737682104110718,0.2647919058799743,41.0008659362793,2.0236026519627
