window_id,music_prob,singing_prob,snr_db,dnsmos_ovrl,flag_sing
-3BTKFtZldo_000,0.8609849214553833,0.011146452277898788,6.191693305969238,1.6360134001638071,0
-3BTKFtZldo_001,0.8772775530815125,0.0031994192395359278,10.001691818237305,1.883913702213988,0
-3BTKFtZldo_002,0.9147104024887085,0.014887651428580284,1.253121256828308,2.22608213540826,0
-9oY4_qcCfg_000,0.5972972512245178,0.00574194872751832,56.378501892089844,3.173351132324662,0
-9oY4_qcCfg_001,0.8504090309143066,0.022213317453861237,20.552661895751953,2.5785690369840757,0
-9oY4_qcCfg_002,0.7875522375106812,0.005760153755545616,19.43374252319336,2.548287189643373,0
-9oY4_qcCfg_003,0.854030430316925,0.005388573277741671,20.437793731689453,2.696320809181754,0
-9oY4_qcCfg_004,0.8892892599105835,0.022560004144906998,17.335912704467773,2.478539703792969,0
-9oY4_qcCfg_005,0.8516568541526794,0.016100086271762848,27.289958953857422,2.5844256819464113,0
-9oY4_qcCfg_006,0.8298583030700684,0.0028335966635495424,17.683700561523438,2.6706233780829973,0
-9oY4_qcCfg_007,0.8368344306945801,0.0037632000166922808,13.975258827209473,1.2252535759077898,0
-9oY4_qcCfg_008,0.8983310461044312,0.004846686031669378,20.65979766845703,2.6839704482319466,0
-9oY4_qcCfg_009,0.8596475124359131,0.015153874643146992,23.43912696838379,2.44201359655817,0
-9oY4_qcCfg_010,0.85260409116745,0.00630981894209981,22.22316551208496,2.6377340395748727,0
-9oY4_qcCfg_011,0.8582460284233093,0.006662530824542046,17.207916259765625,2.8091307215357464,0
-9oY4_qcCfg_012,0.8555944561958313,0.0031577041372656822,14.84135913848877,2.382387696436334,0
-9oY4_qcCfg_013,0.7920425534248352,0.0034178118221461773,17.72406578063965,2.1275797617357237,0
-9oY4_qcCfg_014,0.02660468779504299,0.000566396105568856,69.71815490722656,2.954425240281334,0
-9oY4_qcCfg_015,0.03261120617389679,0.0006202029762789607,65.61312103271484,3.09772177845025,0
-RGj8xb9R8A_000,0.8918678164482117,0.003231845563277602,12.164206504821777,1.9549160092222069,0
-RGj8xb9R8A_001,0.8725239038467407,0.0031475871801376343,10.848342895507812,1.39096223320919,0
-RGj8xb9R8A_002,0.863088846206665,0.01180901937186718,6.383265972137451,1.3070383737005704,0
-RGj8xb9R8A_003,0.9207935929298401,0.0009497658465988934,6.607048511505127,1.0913601359330176,0
-ZzrfGa0S0w_000,0.0204781461507082,0.0008004862465895712,47.22368240356445,3.4054507658078914,0
-ZzrfGa0S0w_001,0.023754343390464783,0.0004989799344912171,51.32493209838867,3.3547790207048704,0
-ZzrfGa0S0w_002,0.016958173364400864,0.0006501197349280119,53.16421890258789,3.4465849468263894,0
-ZzrfGa0S0w_003,0.015300030820071697,0.0007613697089254856,43.14950180053711,3.3304438028119305,0
-ZzrfGa0S0w_004,0.020044956356287003,0.0008754906593821943,59.55620193481445,3.3757969980116966,0
-ZzrfGa0S0w_005,0.013678189367055893,0.0005924645229242742,46.52033615112305,3.378977833302862,0
-ZzrfGa0S0w_006,0.01724233292043209,0.0008927870076149702,45.94194030761719,3.333299234557312,0
-ZzrfGa0S0w_007,0.016713367775082588,0.0009584137005731463,44.22378921508789,3.3526090659966563,0
-ZzrfGa0S0w_008,0.01695341244339943,0.0015795391518622637,45.086883544921875,3.394950182226011,0
-ZzrfGa0S0w_009,0.017842644825577736,0.0015584847424179316,48.94870376586914,3.444145381978608,0
-ZzrfGa0S0w_010,0.021247798576951027,0.0004788113583344966,46.09349060058594,3.3944080540052273,0
-ZzrfGa0S0w_011,0.022642401978373528,0.003723464673385024,70.50382995605469,3.088356443521292,0
-ZzrfGa0S0w_012,0.03324930742383003,0.0006109862006269395,64.33741760253906,3.1263580562301834,0
-agnQ40mEM8_000,0.02009100466966629,0.0007256941753439605,64.62281799316406,3.22473587179472,0
-agnQ40mEM8_001,0.6851586699485779,0.004004884045571089,51.39206314086914,3.232144933784192,0
-agnQ40mEM8_002,0.9226393103599548,0.0010068719275295734,5.766400337219238,1.5586143617002748,0
-duPp9s1JzQ_000,0.8812761902809143,0.07407021522521973,0.17497792840003967,1.1158146615953444,0
-duPp9s1JzQ_001,0.02286660671234131,0.0004591737233567983,41.58147048950195,3.278644262849793,0
-duPp9s1JzQ_002,0.0201781764626503,0.0007233825162984431,72.53759002685547,2.6607647932313423,0
-duPp9s1JzQ_003,0.036154113709926605,0.00230163405649364,73.03026580810547,3.1539523132248672,0
-duPp9s1JzQ_004,0.020213257521390915,0.0006059515289962292,72.63584899902344,3.217220584807058,0
-duPp9s1JzQ_005,0.03431491553783417,0.0020366101525723934,71.52816772460938,3.0790870693691326,0
-duPp9s1JzQ_006,0.03126250579953194,0.0006124515784904361,72.00471496582031,3.2042959581948636,0
-duPp9s1JzQ_007,0.020299280062317848,0.002294898731634021,72.79618835449219,2.8105023060407377,0
-duPp9s1JzQ_008,0.029861444607377052,0.0005829197471030056,71.31006622314453,2.9959604154778314,0
-duPp9s1JzQ_009,0.016103381291031837,0.0005194342811591923,73.05998992919922,3.0892566134036925,0
-duPp9s1JzQ_010,0.019007479771971703,0.0006506531499326229,72.37278747558594,3.303423860377862,0
-duPp9s1JzQ_011,0.022221941500902176,0.002199150389060378,69.66421508789062,3.142711373254413,0
-duPp9s1JzQ_012,0.03002493642270565,0.0005921936244703829,63.15907287597656,3.0537262087904167,0
-uB4Z9Vdv3E_000,0.8717551827430725,0.004382900428026915,14.022335052490234,2.4862576526730273,0
-uB4Z9Vdv3E_001,0.935611367225647,0.006509894970804453,9.79706859588623,2.415898945967573,0
-uB4Z9Vdv3E_002,0.8934125900268555,0.009169748052954674,10.847905158996582,2.2657360919883485,0
-uB4Z9Vdv3E_003,0.027677949517965317,0.0005627901409752667,64.61258697509766,3.0336427573968785,0
01cBqZ4P68A_000,0.8109988570213318,0.008025440387427807,11.776276588439941,1.949848405886236,0
01cBqZ4P68A_001,0.8647158145904541,0.009402858093380928,8.773399353027344,1.8427667291120644,0
01cBqZ4P68A_002,0.9167932868003845,0.0010073584271594882,6.5272393226623535,1.0974092403359237,0
0Hqy8SIu8QM_000,0.8288905620574951,0.17516183853149414,-0.9164546132087708,1.1716159302349392,0
0Hqy8SIu8QM_001,0.3979075849056244,0.18312211334705353,25.017492294311523,1.0850951561609898,0
0Hqy8SIu8QM_002,0.02872757986187935,0.0008398971403948963,70.75550079345703,3.0452276830053697,0
0Hqy8SIu8QM_003,0.03134928271174431,0.0005544593441300094,60.56695556640625,3.184215198661802,0
0QZPlWu3n7Q_000,0.02146610990166664,0.001741006039083004,51.08060073852539,3.3080256522355085,0
0QZPlWu3n7Q_001,0.9010955691337585,0.018080338835716248,5.5028252601623535,1.8272151196195439,0
0QZPlWu3n7Q_002,0.894853949546814,0.014527331106364727,4.906221389770508,1.2045687038692083,0
0QZPlWu3n7Q_003,0.7390989065170288,0.011735012754797935,39.567161560058594,2.9173525693913307,0
0QZPlWu3n7Q_004,0.03204496577382088,0.0006157913594506681,63.805015563964844,3.1230808380884887,0
0bxiKSqEZlU_000,0.031777117401361465,0.0007969490252435207,41.71145248413086,3.278688603669902,0
0bxiKSqEZlU_001,0.07482079416513443,0.0015183310024440289,49.32424545288086,3.1679073477905355,0
0bxiKSqEZlU_002,0.029011320322752,0.0007267458131536841,72.59756469726562,3.1022677837873394,0
0bxiKSqEZlU_003,0.0337216891348362,0.0006455667898990214,63.07051467895508,2.9853120550132455,0
0oa0RJE4db8_000,0.862594485282898,0.003939605783671141,16.55573081970215,1.8921734568359274,0
0oa0RJE4db8_001,0.8962324261665344,0.0026210269425064325,10.832932472229004,1.9654622636712586,0
0oa0RJE4db8_002,0.8490354418754578,0.0016704051522538066,6.527176380157471,2.09277638316514,0
0oa0RJE4db8_003,0.8715742230415344,0.0070546637289226055,8.722760200500488,1.4688072240171206,0
0oa0RJE4db8_004,0.8401232361793518,0.006050758995115757,8.56710433959961,2.2078569368250425,0
0oa0RJE4db8_005,0.9191785454750061,0.001045691198669374,5.922694206237793,1.9471445360284971,0
0tOUk3VfuGg_000,0.875752866268158,0.027132296934723854,12.365756034851074,1.3645733310373604,0
0tOUk3VfuGg_001,0.9125383496284485,0.00655797403305769,6.9679694175720215,2.193239300390079,0
0tOUk3VfuGg_002,0.900946855545044,0.002914882032200694,5.605197906494141,1.1295290810006404,0
0tOUk3VfuGg_003,0.8834823966026306,0.010896719992160797,3.252340316772461,1.1234678005788237,0
0tOUk3VfuGg_004,0.9286085963249207,0.0070556094869971275,4.6190690994262695,1.4067491527651983,0
0tOUk3VfuGg_005,0.9188814163208008,0.013547459617257118,4.8038811683654785,1.1184360018304103,0
0tOUk3VfuGg_006,0.9329146146774292,0.0026068189181387424,6.012231349945068,1.2652919290437892,0
0tOUk3VfuGg_007,0.9141932725906372,0.011227259412407875,6.445755481719971,1.5728561488788912,0
0tOUk3VfuGg_008,0.9068368077278137,0.014223943464457989,9.213336944580078,1.6185730743947029,0
0tOUk3VfuGg_009,0.8967933654785156,0.0021050870418548584,8.396464347839355,1.330751046708807,0
0tOUk3VfuGg_010,0.8959892392158508,0.0033833393827080727,5.652333736419678,1.162289111248274,0
0tOUk3VfuGg_011,0.9278561472892761,0.0011514511425048113,4.190097808837891,1.1288726106032434,0
0tOUk3VfuGg_012,0.9152027368545532,0.010231204330921173,5.573565483093262,1.1444643627943054,0
0tOUk3VfuGg_013,0.8503898978233337,0.01080524642020464,5.716938495635986,1.3596314600932862,0
0tOUk3VfuGg_014,0.8716703653335571,0.003867871593683958,4.640587329864502,1.1435711200122647,0
0tOUk3VfuGg_015,0.8531590700149536,0.011036550626158714,31.41180419921875,2.373967644756032,0
0tOUk3VfuGg_016,0.030360903590917587,0.000648443412501365,62.33378601074219,3.088986539177526,0
0xkI0AW6xfQ_000,0.8225656151771545,0.036630574613809586,9.429195404052734,2.4305569948880867,0
0xkI0AW6xfQ_001,0.33462193608283997,0.14391210675239563,18.36503028869629,1.0888119870559692,0
0xkI0AW6xfQ_002,0.2300308346748352,0.16342107951641083,15.581191062927246,1.912113360908641,0
0xkI0AW6xfQ_003,0.44624561071395874,0.08229761570692062,8.85836124420166,1.0902365605731803,0
0xkI0AW6xfQ_004,0.30286112427711487,0.04384886473417282,32.48404312133789,1.9018772994574693,0
0xkI0AW6xfQ_005,0.2922709286212921,0.06928058713674545,34.9049072265625,1.0310650027258212,0
0xkI0AW6xfQ_006,0.8230106234550476,0.0010537970811128616,14.928932189941406,2.7408426162851187,0
0xkI0AW6xfQ_007,0.8362654447555542,0.009712887927889824,10.453780174255371,2.0748602059820076,0
0xkI0AW6xfQ_008,0.8700075745582581,0.0014097891980782151,6.0634765625,1.1591042020512146,0
0xkI0AW6xfQ_009,0.9122971892356873,0.004879859276115894,6.0117669105529785,1.3552104758505885,0
0xkI0AW6xfQ_010,0.9142456650733948,0.007422738708555698,6.708114147186279,1.5804655788403112,0
0xkI0AW6xfQ_011,0.9390377998352051,0.0038132858462631702,5.430846691131592,1.267399688678937,0
0xkI0AW6xfQ_012,0.8843520283699036,0.006727897562086582,17.72983169555664,1.7442876749312581,0
0xkI0AW6xfQ_013,0.796210765838623,0.009259125217795372,7.915924549102783,1.6778700991787578,0
0xkI0AW6xfQ_014,0.7853541970252991,0.010426393710076809,7.411459922790527,1.5858055820081172,0
0xkI0AW6xfQ_015,0.8134888410568237,0.0034035714343190193,8.275934219360352,1.3664428845679357,0
0xkI0AW6xfQ_016,0.8063663840293884,0.006023441907018423,9.835721015930176,1.55313450717022,0
0xkI0AW6xfQ_017,0.7798289656639099,0.01676291972398758,7.9418182373046875,1.7185428799600098,0
0xkI0AW6xfQ_018,0.8189036846160889,0.009156846441328526,9.795318603515625,1.8624316797429017,0
0xkI0AW6xfQ_019,0.9190608859062195,0.0012242175871506333,5.925297737121582,1.7655138771774685,0
10G-1WZq5jc_000,0.8812453746795654,0.012135308235883713,7.649930477142334,2.4069267518230553,0
10G-1WZq5jc_001,0.9209468960762024,0.0016586162382736802,2.213721990585327,1.4243607951239472,0
10G-1WZq5jc_002,0.9118690490722656,0.01919715665280819,3.880983591079712,1.1084128811512135,0
10G-1WZq5jc_003,0.9332031607627869,0.004986838903278112,5.978365421295166,1.624647631572226,0
10G-1WZq5jc_004,0.9359867572784424,0.00515240291133523,5.901819705963135,1.151428293916609,0
10G-1WZq5jc_005,0.9110779166221619,0.0021740971133112907,7.056972503662109,1.172726560618598,0
10G-1WZq5jc_006,0.8599554896354675,0.01684909127652645,5.328195095062256,1.0949915315629342,0
10G-1WZq5jc_007,0.933289647102356,0.007319881115108728,7.980396270751953,1.3926638824972266,0
10G-1WZq5jc_008,0.7441497445106506,0.004908069036900997,10.169621467590332,1.8841133880450438,0
10G-1WZq5jc_009,0.7244834303855896,0.006903229746967554,10.079279899597168,1.8085685819127504,0
10G-1WZq5jc_010,0.8197824358940125,0.04042988643050194,11.291618347167969,2.2452480639098553,0
10G-1WZq5jc_011,0.7672746777534485,0.01538311317563057,9.92716121673584,1.9276401058953068,0
10G-1WZq5jc_012,0.8728662729263306,0.009925504215061665,12.703713417053223,2.143317110384186,0
10G-1WZq5jc_013,0.9010522365570068,0.001979693304747343,9.06747055053711,2.201346063575288,0
10G-1WZq5jc_014,0.0938364788889885,0.02801458351314068,58.75381088256836,2.9251554235358896,0
10G-1WZq5jc_015,0.22362446784973145,0.24658694863319397,35.12099075317383,1.311152549306668,0
10G-1WZq5jc_016,0.29858043789863586,0.06620938330888748,33.46136474609375,1.1517589769156458,0
10G-1WZq5jc_017,0.8169121742248535,0.0067336359061300755,6.315056324005127,1.9205000336142417,0
10G-1WZq5jc_018,0.9210582375526428,0.0009322304395027459,6.9182047843933105,1.0946799915907985,0
1Hj6ncrJr0c_000,0.7697044014930725,0.0020408672280609608,14.50196647644043,2.243077505148651,0
1Hj6ncrJr0c_001,0.8611087799072266,0.002677114913240075,11.84914493560791,1.9752898760259954,0
1Hj6ncrJr0c_002,0.806787371635437,0.0034331358037889004,11.708033561706543,1.9161306103711147,0
1Hj6ncrJr0c_003,0.8052570819854736,0.006943702697753906,16.867368698120117,2.051384296902451,0
1Hj6ncrJr0c_004,0.8664867281913757,0.006450070068240166,5.268687725067139,1.5992686625974732,0
