content_type,n_videos,n_windows_AB,n_syllables_AB,share_syllables_AB,agreement_AB,agreement_ci_lo,agreement_ci_hi,delta_vs_contemporary,delta_ci_lo,delta_ci_hi,n_boot,boot_seed
parody,7,29,1742,0.010577255863940788,0.6946039035591275,0.5415754893386563,0.7706653225806451,-0.16674773593433279,-0.3295771534299949,-0.09326664934975683,2000,20260917
song,12,67,2223,0.013497841438312497,0.7471884840305892,0.6320728742339169,0.8558055278406692,-0.11416315546287104,-0.22550297756607637,-0.008540061387120391,2000,20260917
recitation,15,68,1900,0.011536616613942305,0.8984210526315789,0.8241749555546141,0.93755772016153,0.03706941313811862,-0.03562005874267583,0.07906635900742759,2000,20260917
film_clip,125,871,43457,0.2638667095747846,0.776353636928458,0.7430328114300474,0.8069603000240064,-0.08499800256500223,-0.11898430784238864,-0.05054266435177648,2000,20260917
contemporary,408,3404,115371,0.7005215765090198,0.8613516394934603,0.8499901465358675,0.8723242558286636,,,,2000,20260917
film_related_core_PIPELINE,119,827,40020,0.24299757731051108,0.7611694152923538,0.7302694695399293,0.792253661670623,-0.09891255915279473,-0.13361425168304097,-0.0655392813415529,2000,20260917
