subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,<3,9824,128,0.8017100977198697,0.7680616906395664,0.8330173083188538,0.85,0.8473282442748091,0.8554006968641115
film,3-5,34487,102,0.7806999739032099,0.7460779189351855,0.815158318669624,0.8488038277511962,0.7784237726098191,0.8738744442340416
film,5-7,1030,5,0.3533980582524272,0.29732620320855613,0.4031465093411996,0.3816793893129771,0.16666666666666666,0.43478260869565216
contemporary,<3,56497,406,0.8604173672938387,0.8474259914040178,0.8729810811797555,0.8959935897435898,0.8890467171717171,0.9015151515151515
contemporary,3-5,58874,232,0.8622481910520773,0.8449177516374353,0.8777790421466922,0.898415743548487,0.8872983870967741,0.9107171687602015
