subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,<0.2,45083,130,0.7786527072288889,0.746932940489735,0.8091396897445093,0.8517241379310345,0.8360655737704918,0.8644546703296703
film,0.2-0.5,203,7,0.21182266009852216,0.12764116202945988,0.4925373134328358,0.4444444444444444,0.0,0.5
film,>0.5,55,1,0.3090909090909091,0.3090909090909091,0.3090909090909091,0.3090909090909091,0.3090909090909091,0.3090909090909091
contemporary,<0.2,114638,407,0.8644166855667406,0.8533346899978399,0.8752170600096397,0.89375,0.8837895063003512,0.8989513822688274
contemporary,0.2-0.5,663,14,0.37254901960784315,0.2839585048267605,0.44871951219512196,0.33728448275862066,0.22413793103448276,0.4083333333333333
contemporary,>0.5,70,2,0.4714285714285714,0.3404255319148936,0.7391304347826086,0.5397779833487512,0.3404255319148936,0.7391304347826086
