contrast,description,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film_all,Film subset (all windows),45341,130.0,0.7755453121898502,0.7448397184882689,0.8055780928101737,0.8484703236877922,0.8216666666666667,0.8623085478603939
film_no_high_singing,Film subset (singing_prob <= 0.5),45286,130.0,0.776111822638343,0.7453749765808045,0.8057240908622639,0.8484703236877922,0.8216666666666667,0.8623085478603939
film_singing_removal_delta,Agreement recovery (delta) after removing singing_prob>0.5,55,,0.000566510448492763,,,0.0,,
film_dialogue_highsnr_n_ng_gw,"film dialogue highsnr n ng gw (snr_db>15, n-/ng-/gw- initials)",1035,88.0,0.6396135265700483,0.5692521786725394,0.7299037184784972,1.0,0.8990384615384616,1.0
contemporary_highsnr_n_ng_gw,"contemporary highsnr n ng gw (snr_db>15, n-/ng-/gw- initials)",3461,309.0,0.9130309159202543,0.8932032047522861,0.9314599368194919,1.0,1.0,1.0
film_overall,film overall agreement,45341,130.0,0.7755453121898502,0.7448397184882689,0.8055780928101737,0.8484703236877922,0.8216666666666667,0.8623085478603939
contemporary_overall,contemporary overall agreement,115371,407.0,0.8613516394934603,0.8502223694277293,0.8725081308906333,0.8931297709923665,0.8825,0.8989365505141674
