subset,n_tone1_syllables,n_videos,heard_as_4_rate,heard_as_6_rate,heard_as_4_or_6_rate,ci_low,ci_high
film,10009,130,0.02178039764212209,0.04216205415126386,0.06394245179338595,0.05148444469523755,0.07670463588989353
contemporary,26106,407,0.011223473530989044,0.026085957251206618,0.03730943078219567,0.03297279071933875,0.041950696796954914
